Empresa Destinataria (ED),Entidade Veiculo (EV),Investimento Total na ED,Financiamento FINOVA
"PH Energia, Lda","Green Capital SGPS, SA","140,000.00","90,500.00"
"Magnomics, S.A.","PNV Capital SGPS, SA","37,000.00","24,050.00"
"Changing Experience, Lda","Smart Equity, SGPS, SA","183,333.33","119,166.66"
Globalproud Lda,"Galaxyboards SGPS, SA","50,000.00","32,500.00"
Orizonvision Lda,"Smart Equity SGPS, SA","36,722.23","23,869.45"
"Skyeye, Lda","Eggnest SGPS, SA","150,000.00","97,500.00"
"EPC - Energy Performance Certification, Lda","Eggnest SGPS, SA","45,000.00","29,250.00"
"5ensesinfood, S.A.","IA-FCI Ciencias da Vida SGPS, SA","36,000.00","23,400.00"
Globalproud Lda,"Green Swan SGPS, SA","110,000.00","71,500.00"
"5ensesinfood, S.A.","BrainInvest SGPS, SA","18,000.00","11,700.00"
"Biomad Plus - Energias Renovaveis, Lda.","Creative Wings SGPS, SA","50,000.00","32,500.00"
"Ihcare - Innovation Hospital Care, Lda","A2B SGPS, SA","83,903.23","54,537.10"
"Softwizard, Lda.","GalaxyBoard SGPS, SA.","100,000.00","65,000.00"
"Videobserver, SA","IA - FCI Ciencias da Vida SGPS, SA","110,000.00","71,500.00"
"O2W, SA","Yellow Swan SGPS, SA","272,230.00","176,949.50"
Egg Eletronics Lda,"Creative Wings SGPS, SA","20,000.00","13,000.00"
"Ph Energia, Lda","Creative Wings SGPS, SA","180,000.00","117,000.00"
"Targetalent, Lda","Green Capital SGPS, SA","42,000.00","27,300.00"
"Egg Electronics, Lda","Creative Wings SGPS, SA","30,000.00","19,500.00"
"PH Energia, Lda","Creative Wings SGPS, SA","150,000.00","97,000.00"
My Account Lda,"Adventure2life, SA","770,000.00","500,000.00"
Vanguardacanela Lda,"Civil Risco SGPS, SA","57,735.00","37,527.75"
Vanguardacanela Lda,"Tic Risco SGPS, SA","62,265.00","40,472.25"
"MyClickBox, S.A.","Green Swan SGPS, SA","150,000.00","97,500.00"
"Targetalent, Lda","Creative Wings SGPS, SA","42,000.00","27,300.00"
"Whale, S.A.","New Ventures SGPS, SA","100,000.00","65,000.00"
"Picospark - Elecctro Solutions, Lda","Shilling Capital Partners, SGPS, S.A.","20,000.00","10,725.00"
"Zeyton Nutraceuticals, Lda","Shilling Capital Partners, SGPS, S.A.","5,000.00","3,075.00"
"Jump4Better - Innovative Management Systems, Lda","Indextalent, Lda","50,000.00","32,500.00"
"Whale, S.A.","GalaxyBoard SGPS, SA","100,000.00","65,000.00"
